"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","CardTrader","Cardhoarder","Salt","Decks"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"1","W,U,B","4","Y'shtola, Night's Blessed","mythic","Creature","3.49","5.15","4.28","3.23","2.23","4.27","0.9212598425196851","54481"
"2","R,W,B","6","Edgar Markov","mythic","Creature","37.99","30.29","35.71","25.14","23.23","1.76","2.0457875457875456","50953"
"3","W,U,B,R,G","9","The Ur-Dragon","mythic","Creature","42.99","35.79","42.85","29.76","33.46","0.03","1.9667221297836939","50913"
"4","G,W,U,B","4","Atraxa, Praetors' Voice","mythic","Creature","27.99","24.95","23.57","15.88","20.27","0.02","1.722789115646258","44735"
"5","R","4","Krenko, Mob Boss","rare","Creature","3.49","2.09","2.85","1.17","1.7","0.02","1.1744505494505486","44127"
"6","U,R","3","Vivi Ornitier","mythic","Creature","49.99","37.11","50","31.28","45.44","0.92","2.807486631016043","40658"
"7","U,B,R","6","Sauron, the Dark Lord","mythic","Creature","21.99","19.13","22.85","17.66","20.27","0.02","1.1549815498154992","39844"
"8","R,W,B","4","Kaalia of the Vast","mythic","Creature","3.99","2.33","3.56","2.22","1.62","0.02","1.1871559633027513","39705"
"9","B,G,U","4","Teval, the Balanced Scale","mythic","Creature","4.49","5.21","4.28","6.45","5.68","undefined","0.6049382716049383","38772"
"10","U,B,R","4","Fire Lord Azula","rare","Creature","0.99","1.03","1.06","1.19","1.23","0.02","undefined","37666"
"11","G,W,U","4","Ms. Bumbleflower","mythic","Creature","5.99","6.71","5.71","17.03","6.37","undefined","0.8064516129032258","36951"
"12","R,G,W","5","Pantlaza, Sun-Favored","mythic","Creature","2.49","5.47","2.14","3.52","6.67","0.34","0.8370786516853933","36728"
"13","B,G","4","Lathril, Blade of the Elves","rare","Creature","2.49","2.58","2.14","1.53","1.01","0.02","0.9107806691449815","35737"
"14","W","2","Giada, Font of Hope","rare","Creature","0.99","0.5","1.06","0.52","0.49","0.02","0.4598930481283423","34896"
"15","B,G,U","4","The Wise Mothman","mythic","Creature","0.99","2.16","1.06","0.5","1.39","undefined","1.0082644628099173","33631"
"16","W,U,B,R,G","5","Jodah, the Unifier","mythic","Creature","2.79","3.14","2.49","1.49","2.08","0.02","1.9393346379647758","33081"
"17","R,G,W","4","Toph, the First Metalbender","rare","Creature","1.29","1.37","1.42","0.77","0.83","0.02","undefined","32787"
"18","U,B,R","5","Nekusar, the Mindrazer","rare","Creature","3.49","3.15","2.85","1.37","2.18","0.02","1.242063492063493","32339"
"19","U,B","3","Yuriko, the Tiger's Shadow","rare","Creature","3.99","3.17","4.28","2.39","3.73","1.05","2.1452420701168586","32034"
